corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,gtopdb_ligand_id,gtopdb_name,gtopdb_inchikey,gtopdb_chembl_id,gtopdb_pubchem_cid,matched_on_source_name,normalised_name,ambiguous_pages_for_name,confirmation,interactions_pending
K1:74X82ST8Q1#dlle,Tarlatamab-Dlle,2,74X82ST8Q1,,12969,tarlatamab,,,,tarlatamab,tarlatamab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:0KVO411B3N,Tislelizumab,1,0KVO411B3N,,12989,toripalimab,,,,toripalimab,toripalimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:28X28X9OKV,Durvalumab,1,28X28X9OKV,,12989,toripalimab,,,,toripalimab,toripalimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:8JXN261VVA,Toripalimab,1,8JXN261VVA,,12989,toripalimab,,,,toripalimab,toripalimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:8JXN261VVA#tpzi,Toripalimab-Tpzi,2,8JXN261VVA,,12989,toripalimab,,,,toripalimab,toripalimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,3
K1:0KVO411B3N,Tislelizumab,1,0KVO411B3N,,12990,sintilimab,,,,sintilimab,sintilimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:73096E137E,Camrelizumab,3,73096E137E,,12990,sintilimab,,,,sintilimab,sintilimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:8FU7FQ8UPK,Sintilimab,3,8FU7FQ8UPK,,12990,sintilimab,,,,sintilimab,sintilimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:949NG8376D,Gilvetmab,3,949NG8376D,,12990,sintilimab,,,,sintilimab,sintilimab,4,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:W05CP6IT8R,PROLGOLIMAB,3,W05CP6IT8R,,12991,prolgolimab,,,,prolgolimab,prolgolimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:894KSI08XK,Nurulimab,3,894KSI08XK,,12992,nurulimab,,,,nurulimab,nurulimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:G770V925KP,Rocatinlimab,3,G770V925KP,,13045,rocatinlimab,,,,rocatinlimab,rocatinlimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:EJ48MR05C3,Ordesekimab,3,EJ48MR05C3,,13046,ordesekimab,,,,ordesekimab,ordesekimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:J38KT46AH8,Narlumosbart,3,J38KT46AH8,,13084,narlumosbart,,,,narlumosbart,narlumosbart,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:1XBY50W1OX,Adebrelimab,3,1XBY50W1OX,,13085,adebrelimab,,,,adebrelimab,adebrelimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:52CMI0WC3Y,Atezolizumab,1,52CMI0WC3Y,,13085,adebrelimab,,,,adebrelimab,adebrelimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:13ZEQ1M5ML,DIVOZILIMAB,3,13ZEQ1M5ML,,13087,divozilimab,,,,divozilimab,divozilimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:C5D3YG7ZR8,ORM-10921,3,,OCUKPFWNSAAHRP-QZTJIDSGSA-N,13130,ORM-10921,ORJHUFIKVKSPRJ-ZWKOTPCHSA-N,,171037438,ORM-10921,orm 10921,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:VI6E2D3CYP,ORIC-101,3,VI6E2D3CYP,,13167,ORIC-101,VNLTWJIWEYPBIF-KMSLUKAPSA-N,CHEMBL4161754,134415769,ORIC-101,oric 101,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:ONX021SC9O,Camoteskimab,3,ONX021SC9O,,13187,camoteskimab,,,,camoteskimab,camoteskimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:OVF025LA77,Intermedine,3,,WHNFPRLDDSXQCL-UAZQEYIDSA-N,1320,α-MSH,,,16162729,α-melanocyte stimulating hormone,melanocyte stimulating hormone,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,4
K2:MYIVZHLQTAFSND-JTNHKYCSSA-N,Girocitinib,3,,MYIVZHLQTAFSND-JTNHKYCSSA-N,13208,girocitinib,ZFQNHUSKKDBFHY-GRYCIOLGSA-N,,139412850,girocitinib,girocitinib,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
