molecule_chembl_id,molecule_name,page_key,page_display_name,tier,confirmed_by_corpus_chembl_id
CHEMBL1201497,INSULIN GLARGINE,K1:2ZM8CX04RZ#aglr,Insulin Glargine-Aglr,2,False
CHEMBL1201497,INSULIN GLARGINE,K1:2ZM8CX04RZ#aldy,Insulin Glargine-Aldy,2,False
CHEMBL1201497,INSULIN GLARGINE,K1:2ZM8CX04RZ#yfgn,Insulin Glargine-Yfgn,2,False
CHEMBL1201497,INSULIN GLARGINE,K2:UGOZVNFCFYTPAZ-IOXYNQHNSA-N,Insulin detemir,2,False
CHEMBL1201498,AMINO ACIDS,K1:0O72R8RF8A,Amino Acids,1,True
CHEMBL1201498,AMINO ACIDS,K1:DA8G610ZO5,Acetyl-L-Tyrosine,1,False
CHEMBL1201503,FERUMOXSIL,K1:6HJV9H13XS,Ferumoxsil,1,True
CHEMBL1201504,FIBRINOGEN I 125,K1:78F3R6PZ9R,Fibrinogen (125i),2,True
CHEMBL1201505,"FIBRINOLYSIN, HUMAN",K1:A4028U842W,Fibrinolysin,2,False
CHEMBL1201505,"FIBRINOLYSIN, HUMAN",K1:D60E3WIF5Y,Fibrinolysin (human),2,True
CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,K1:0T8392U5N1,Glucose Oxidase,3,False
CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,K1:8GZG754X6M,Gemtuzumab ozogamicin,1,True
CHEMBL1201506,GEMTUZUMAB OZOGAMICIN,K1:93NS566KF7,Gemtuzumab,3,False
CHEMBL1201507,GLATIRAMER ACETATE,K1:5M691HL4BO,Glatiramer Acetate,2,True
CHEMBL1201509,"GONADOTROPIN, CHORIONIC",K1:20ED16GHEB,Choriogonadotropin beta,1,True
CHEMBL1201509,"GONADOTROPIN, CHORIONIC",K1:6413W06WR3,Choriogonadotropin alfa,2,False
CHEMBL1201514,PEGADEMASE BOVINE,K1:HW3H7D91F6,Pegademase,1,True
CHEMBL1201515,PEGVISOMANT,K1:N824AOU5XV,Pegvisomant,1,True
CHEMBL1201516,PENTOSAN POLYSULFATE SODIUM,K1:F59P8B75R4,Pentosan Polysulfate,2,True
CHEMBL1201519,VITAMIN K,K1:A034SE7857,Phytonadione,1,True
CHEMBL1201519,VITAMIN K,K1:S5Z3U87QHF,"PHYTONADIONE, (E)-",2,False
CHEMBL1201520,UROFOLLITROPIN,K1:076WHW89TW,Follitropin,1,False
CHEMBL1201520,UROFOLLITROPIN,K1:8FYM5179QJ,Follicle Stimulating Hormone (PORCINE),2,False
CHEMBL1201520,UROFOLLITROPIN,K1:VV3HN9ZPB5,Follitropin alfa,2,False
CHEMBL1201520,UROFOLLITROPIN,K1:W9BB98U6HP,Urofollitropin,1,True
CHEMBL1201524,TECHNETIUM (99MTC) APCITIDE,K1:IV7T84QA4T,Technetium (99mtc) apcitide,1,True
CHEMBL1201529,TECHNETIUM TC 99M SULFUR COLLOID,K1:556Q0P6PB1,Technetium Tc-99m Sulfur Colloid,2,True
CHEMBL1201531,VERATRUM VIRIDE ROOT,K1:197B3Q7T5Q,Veratrum Viride Root,1,True
CHEMBL1201531,VERATRUM VIRIDE ROOT,K1:36K54AW5KX,Veratrum Viride Whole,3,False
CHEMBL1201532,THYROTROPIN,K1:02KSI6Z9AK,Thyrotrophin,1,True
CHEMBL1201532,THYROTROPIN,K1:AVX3D5A4LM,Thyrotropin alfa,2,False
CHEMBL1201533,THYROTROPIN ALFA,K1:02KSI6Z9AK,Thyrotrophin,1,False
CHEMBL1201533,THYROTROPIN ALFA,K1:AVX3D5A4LM,Thyrotropin alfa,2,True
CHEMBL1201534,DANAPAROID SODIUM,K1:BI6GY4U9CW,Danaparoid,2,True
CHEMBL1201538,INSULIN LISPRO,K1:1Y17CTI5SR,Insulin human,1,False
CHEMBL1201538,INSULIN LISPRO,K1:D933668QVX,Insulin aspart,1,False
CHEMBL1201538,INSULIN LISPRO,K1:GFX7QIS1II,Insulin lispro,1,True
CHEMBL1201538,INSULIN LISPRO,K1:GFX7QIS1II#aabc,Insulin Lispro-Aabc,1,False
CHEMBL1201548,TYLOXAPOL,K1:Y27PUL9H56,Tyloxapol,2,True
CHEMBL1201550,DENILEUKIN DIFTITOX,K1:25E79B5CTM,Denileukin diftitox,1,True
CHEMBL1201550,DENILEUKIN DIFTITOX,K1:25E79B5CTM#cxdl,Denileukin Diftitox-Cxdl,2,False
CHEMBL1201556,BECAPLERMIN,K1:1B56C968OA,Becaplermin,2,True
CHEMBL1201557,INTERFERON ALFACON-1,K1:56588OP40D,Interferon alfacon-1,2,True
CHEMBL1201558,INTERFERON ALFA-2B,K1:47RRR83SK7,Interferon ALFA-2A,2,False
CHEMBL1201558,INTERFERON ALFA-2B,K1:4DVS4AG4DF,Interferon alfa-2b,2,True
CHEMBL1201558,INTERFERON ALFA-2B,K1:981TME683S,Ropeginterferon alfa-2b,2,False
CHEMBL1201558,INTERFERON ALFA-2B,K1:G8RGG88B68,Peginterferon alfa-2b,2,False
CHEMBL1201560,PEGINTERFERON ALFA-2A,K1:47RRR83SK7,Interferon ALFA-2A,2,False
CHEMBL1201560,PEGINTERFERON ALFA-2A,K1:4DVS4AG4DF,Interferon alfa-2b,2,False
CHEMBL1201560,PEGINTERFERON ALFA-2A,K1:G8RGG88B68,Peginterferon alfa-2b,2,False
CHEMBL1201560,PEGINTERFERON ALFA-2A,K1:Q46947FE7K,Peginterferon alfa-2a,1,True
CHEMBL1201561,PEGINTERFERON ALFA-2B,K1:47RRR83SK7,Interferon ALFA-2A,2,False
CHEMBL1201561,PEGINTERFERON ALFA-2B,K1:4DVS4AG4DF,Interferon alfa-2b,2,False
CHEMBL1201561,PEGINTERFERON ALFA-2B,K1:G8RGG88B68,Peginterferon alfa-2b,2,True
CHEMBL1201561,PEGINTERFERON ALFA-2B,K1:Q46947FE7K,Peginterferon alfa-2a,1,False
CHEMBL1201562,INTERFERON BETA-1A,K1:I8309403R0,Peginterferon beta-1a,2,False
CHEMBL1201562,INTERFERON BETA-1A,K1:V9GU1EM8SF,Interferon beta,2,False
CHEMBL1201562,INTERFERON BETA-1A,K1:XRO4566Q4R,Interferon beta-1a,2,True
CHEMBL1201563,INTERFERON BETA-1B,K1:TTD90R31WZ,Interferon beta-1b,2,True
CHEMBL1201563,INTERFERON BETA-1B,K1:V9GU1EM8SF,Interferon beta,2,False
CHEMBL1201564,INTERFERON GAMMA-1B,K1:21K6M2I7AG,Interferon GAMMA-1B,2,True
CHEMBL1201565,EPOETIN ALFA,K1:64FS3BFH5W,Epoetin alfa,1,True
CHEMBL1201565,EPOETIN ALFA,K1:64FS3BFH5W#epbx,Epoetin Alfa-Epbx,2,False
CHEMBL1201565,EPOETIN ALFA,K1:64FS3BFH5W#zeta,Epoetin zeta,2,False
CHEMBL1201566,DARBEPOETIN ALFA,K1:15UQ94PT4P,Darbepoetin alfa,2,True
CHEMBL1201567,FILGRASTIM,K1:3A58010674,Pegfilgrastim,2,False
CHEMBL1201567,FILGRASTIM,K1:6WS4C399GB,Lenograstim,2,False
CHEMBL1201567,FILGRASTIM,K1:PVI5M0M1GW,Filgrastim,2,True
CHEMBL1201567,FILGRASTIM,K1:PVI5M0M1GW#aafi,Filgrastim-Aafi,2,False
CHEMBL1201567,FILGRASTIM,K1:PVI5M0M1GW#ayow,Filgrastim-Ayow,2,False
CHEMBL1201567,FILGRASTIM,K1:PVI5M0M1GW#laha,Filgrastim-Laha,2,False
CHEMBL1201567,FILGRASTIM,K1:PVI5M0M1GW#sndz,Filgrastim-Sndz,2,False
CHEMBL1201567,FILGRASTIM,K1:PVI5M0M1GW#txid,Filgrastim-Txid,2,False
CHEMBL1201568,PEGFILGRASTIM,K1:3A58010674,Pegfilgrastim,2,True
