source_record,normalised_name,unii,inchikey,candidate_pages,candidate_count
frdb-compound:49416:DEXTROAMPHETAMINE TANNATE,dextroamphetamine,500Y9JV943,LZHILFCCEFOKOG-VFRRKMCSSA-N,"COMBO:{K1:QLZ991V4A2,K1:TZ47U051FI}|HOLD:existing:dextroamphetamine-saccharate|K1:CK833KGX7E|K1:TZ47U051FI",4
frdb-compound:50268:SEL-120-34A,sel12034a,,,K1:6LGR0RYY5Q,1
frdb-compound:58506:GSK-3008348,gsk3008348,,,K1:L6EE7H64YF,1
frdb-compound:58781:IMARADENANT,imaradenant,,,K1:770140J08A,1
frdb-compound:58924:CB-1158,cb1158,,,K1:IFD73D535A,1
"frdb-compound:59528:3,3',4,5'-TETRACHLOROSALICYLANILIDE",3345tetrachlorosalicylanilide,4H8SC2479J,ZJIQNOMMMRNUEM-UHFFFAOYSA-N,K1:HNE676755I,1
frdb-compound:59564:ORELABRUTINIB,orelabrutinib,,,K1:WJA5UO9E10,1
frdb-compound:59565:BETAMETHASONE VALERATE,betamethasone,,,K1:143NQ3779B|K1:50FH5AG9RW|K1:826Y60901U|K1:877K0XW47A|K1:9842X06Q6M|K1:9IFA5XM7R2|K1:TI05AO53L7|K1:YJO1F9W10R,8
frdb-compound:59566:ATABECESTAT,atabecestat,,,K1:2834W8D6GK,1
frdb-compound:59568:AZD-7624,azd7624,,,K2:MXNGYQJJYRVGGJ-QFIPXVFZSA-N,1
frdb-compound:59570:ONO-2952,ono2952,,,K1:ZH8CPX4YNB,1
frdb-compound:59572:VX-803,vx803,,,K1:7OM98IUD1O,1
frdb-compound:59575:BELVARAFENIB,belvarafenib,,,K1:31M3WLJ3KG,1
frdb-compound:59577:BI-894999,bi894999,,,K1:F6XR3O34V2,1
frdb-compound:59580:GIREDESTRANT,giredestrant,,,K1:28P3DU6DB3,1
frdb-compound:59583:PF-06882961,pf06882961,,,K1:DN9IUI24GP,1
frdb-compound:59588:ODM-203,odm203,,,K1:Y7HJ4D4CRT,1
frdb-compound:59591:MK-8353,mk8353,,,K2:KPQQGHGDBBJGFA-QNGWXLTQSA-N,1
