schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,8AB,1-(4-Chlorophenyl)-2-(ethylamino)propan-1-one,1-(4-Chlorophenyl)-2-(ethylamino)propan-1-one (also known as 4‑Chloroethcathinone or 4-CEC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8AC,1-(3-Chlorophenyl)-2-(methylamino)propan-1-one,1-(3-Chlorophenyl)-2-(methylamino)propan-1-one (also known as 3-chloromethcathinone or 3‑CMC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8B,1-(4-Chlorophenyl)-2-(methylamino)propan-1-one,1-(4-Chlorophenyl)-2-(methylamino)propan-1-one (also known as 4‑Chloromethcathinone or Clephedrone or 4-CMC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,10,"1-(3,4-Dimethylphenyl)-2-(methylamino)propan-1-one","1-(3,4-Dimethylphenyl)-2-(methylamino)propan-1-one (also known as 3,4-Dimethylmethcathinone or 3,4-DMMC)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,10A,2-(Ethylamino)-1-(4-ethylphenyl)propan-1-one,2-(Ethylamino)-1-(4-ethylphenyl)propan-1-one (also known as 4‑Ethylethcathinone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,10B,2-(Ethylamino)-1-(4-fluorophenyl)propan-1-one,2-(Ethylamino)-1-(4-fluorophenyl)propan-1-one (also known as 4‑Fluoroethcathinone or 4-FEC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,10C,2-(Ethylamino)-1-(4-methylphenyl)pentan-1-one,2-(Ethylamino)-1-(4-methylphenyl)pentan-1-one (also known as 4‑Methyl-α-ethylaminopentiophenone or 4-MEAPP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,11,2-(Ethylamino)-1-(4-methylphenyl)propan-1-one,2-(Ethylamino)-1-(4-methylphenyl)propan-1-one (also known as 4‑Methylethcathinone or 4-MEC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,12,2-(Ethylamino)-1-phenylbutan-1-one,2-(Ethylamino)-1-phenylbutan-1-one (also known as N‑ethylbuphedrone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,12A,2-(Ethylamino)-1-phenylhexan-1-one,2-(Ethylamino)-1-phenylhexan-1-one (also known as N‑Ethylhexedrone or Ethyl-hexedrone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,13,2-(Ethylamino)-1-phenylpentan-1-one,2-(Ethylamino)-1-phenylpentan-1-one (also known as α‑Ethylaminopentiophenone or N-Ethylpentedrone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,14,2-(Ethylamino)-1-phenylpropan-1-one,2-(Ethylamino)-1-phenylpropan-1-one (also known as ethcathinone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,14A,1-(4-Ethylphenyl)-2-(methylamino)propan-1-one,1-(4-Ethylphenyl)-2-(methylamino)propan-1-one (also known as 4‑Ethylmethcathinone or 4-EMC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,14B,1-(4-Fluoro-3-methylphenyl)-2-(pyrrolidin-1-yl)pentan-1-one,1-(4-Fluoro-3-methylphenyl)-2-(pyrrolidin-1-yl)pentan‑1‑one (also known as 4‑Fluoro‑3‑methyl‑α‑pyrrolidinopentiophenone or 4‑Fluoro‑3‑methyl‑α‑PVP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,15,1-(4-Fluorophenyl)-2-(methylamino)propan-1-one,1-(4-Fluorophenyl)-2-(methylamino)propan-1-one (also known as 4‑Fluoromethcathinone or Flephedrone or 4-FMC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,15AA,1-(4-Fluorophenyl)-2-(pyrrolidin-1-yl)hexan-1-one,1-(4-Fluorophenyl)-2-(pyrrolidin-1-yl)hexan-1-one (also known as 4‑Fluoro-PHP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,15A,1-(4-Fluorophenyl)-2-(pyrrolidin-1-yl)pentan-1-one,1-(4-Fluorophenyl)-2-(pyrrolidin-1-yl)pentan-1-one (also known as 4‑Fluoro-α-PVP),no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,17,1-(4-Methoxyphenyl)-2-(pyrrolidin-1-yl)propan-1-one,1-(4-Methoxyphenyl)-2-(pyrrolidin-1-yl)propan-1-one (also known as MOPPP),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,17AA,4-Methyl-1-phenyl-2-(pyrrolidin-1-yl)pentan-1-one,4-Methyl-1-phenyl-2-(pyrrolidin-1-yl)pentan-1-one (also known as α-PiHP or α-pyrrolidinoisohexanophenone),resolved to a UNII that no corpus page holds
