rotigotine	APPROVED_MEDICINE	FDA Approved	Small Molecule
molasses	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sus-scrofa-rectal-mucosa	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rumex-crispus-root	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sambucus-nigra-flowering-top	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
populus-deltoides-pollen	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sarsaparilla	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
saccharomyces-cerevisiae	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
vanilla	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
saffron	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
n-acetyl-carnosine	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pine-needle-oil	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
comb	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sacubitril	APPROVED_MEDICINE	FDA Approved	Small Molecule
serine	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
chanca-piedra	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sargramostim	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
boric-acid	APPROVED_MEDICINE	FDA Approved	Nutraceutical / Botanical
populus-tristis-pollen	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
montanoa-tomentosa	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pectin-cellulose	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ruxolitinib	APPROVED_MEDICINE	FDA Approved	Small Molecule
sanguisorba	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
salsalate	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Small Molecule
sequoiadendron-giganteum-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
influenza-b-virus-b-austria-1359417-2021-bvr-26-antigen	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
senna	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
samidorphan-l-malate	APPROVED_MEDICINE	FDA Approved	Small Molecule
bladder	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sapropterin	APPROVED_MEDICINE	FDA Approved	Small Molecule
selenicereus-grandiflorus-stem	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
tamarix-gallica-pollen	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
echothiophate	APPROVED_MEDICINE	FDA Approved	Small Molecule
ponasterone	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sarecycline	APPROVED_MEDICINE	FDA Approved	Small Molecule
rhamnus-nakaharai	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
policosanol	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
scrophularia-nodosa-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
serdexmethylphenidate	APPROVED_MEDICINE	FDA Approved	Small Molecule
cefixime	APPROVED_MEDICINE	FDA Approved	Small Molecule
