key,tier,displayName,has_unii,has_inchikey,is_combination
K1:0JSR7Z0NB6,2,Amivantamab,True,False,False
K1:0JSR7Z0NB6#lpuj,2,Amivantamab and Hyaluronidase-Lpuj,True,False,False
K1:0JSR7Z0NB6#vmjw,2,Amivantamab-Vmjw,True,False,False
K1:0JTX26L7CL,2,Jacaranda Caroba Flower,True,False,False
K1:0JXZ63016V,2,Coltsfoot,True,False,False
K1:0K0S2P98ZJ,1,Streptococcus Pneumoniae Type 7f Capsular Polysaccharide Diphtheria Crm197 Protein Conjugate Antigen,True,False,False
K1:0K2D42A3YG,3,LEISH-F3,True,False,False
K1:0K803ZTV5N,3,Suaeda Maritima Flowering Top,True,False,False
K1:0K96FZ8ZI2,2,Heimia Salicifolia Leaf,True,False,False
K1:0KD7R09EAS,2,Prunus Cerasifera Flower,True,False,False
K1:0KVO411B3N,1,Tislelizumab,True,False,False
K1:0KVO411B3N#jsgr,2,Tislelizumab-Jsgr,True,False,False
K1:0KYI9U9FSJ,3,Edrecolomab,True,False,False
K1:0KZ676D44N,2,Candida Parapsilosis,True,False,False
K1:0L1F17908Q,2,Ciltacabtagene Autoleucel,True,False,False
K1:0LB9J2797D,2,Patiromer Sorbitex Calcium,True,False,False
K1:0LFT87M341,3,Plasmodium Knowlesi,True,False,False
K1:0LMC25OLZY,3,Eupatorium Perfoliatum Whole,True,False,False
K1:0LPG0J327L,3,DENINTUZUMAB,True,False,False
K1:0LVY784C09,2,Poliovirus Type 1 Antigen (FORMALDEHYDE INACTIVATED),True,False,False
K1:0M19J59UH4,3,Vepalimomab,True,False,False
K1:0M2XT000YC,3,Ontuxizumab,True,False,False
K1:0M6MOQ3BOU,3,Rickettsia Akari,True,False,False
K1:0MF1EI01KJ,3,Angelica Pubescens Root,True,False,False
K1:0MGE63QPFJ,3,Populus Nigra Pollen,True,False,False
K1:0MT70OWS53,2,Aspidosperma Quebracho-Blanco Root,True,False,False
K1:0MVO31Q3QS,1,Cranberry,True,False,False
K1:0N0F73S1JO,3,Arctostaphylos Tomentosa Whole,True,False,False
K1:0N1VMU8G9W,3,Silk Sericin,True,False,False
K1:0N3FY8225K,3,Aganirsen,True,False,False
K1:0N3Z1P4B2W,3,Pleospora Herbarum,True,False,False
K1:0N8672707O,3,Corn,True,False,False
K1:0O005HD2J8,2,Bos Taurus Ligament,True,False,False
K1:0O0H79JKAY,3,Oxytropis Lambertii Top,True,False,False
K1:0O39RGI33V,3,Selicrelumab,True,False,False
K1:0O72R8RF8A,1,Amino Acids,True,False,False
K1:0OO9PG91FF,3,Capers,True,False,False
K1:0OOS09O1FH,2,Nadofaragene firadenovec,True,False,False
K1:0ORO6NCA4M,2,Vipera Berus Venom,True,False,False
K1:0P067WOA1X,3,Panax Quinquefolius Whole,True,False,False
K1:0P08SIO8FI,3,Linvekinogene treniplasmid,True,False,False
K1:0P46LFE4VC,3,Phleum Pratense,True,False,False
K1:0P49L952WZ,3,Andrographis Paniculata Whole,True,False,False
K1:0P5G9CD0Z7,3,Alnus Glutinosa Whole,True,False,False
K1:0P6ERS26LL,3,Syzygium Aromaticum Fruit,True,False,False
K1:0P6KRC474X,3,Efzimfotase alfa,True,False,False
K1:0P93LDFNTU,3,AVI-7537,True,False,False
K1:0P94UQE6SY,2,Coagulation Factor X Human,True,False,False
K1:0PMA62ZZ6X,3,Rosa Luciae Flowering Top,True,False,False
K1:0Q3R71D98M,3,Kokam,True,False,False
K1:0Q8K841432,3,Jasmine,True,False,False
K1:0QI90BTJ37,2,Sotatercept,True,False,False
K1:0QI90BTJ37#csrk,1,Sotatercept-Csrk,True,False,False
K1:0R4AQI398X,3,Rye,True,False,False
K1:0R4NLX88O4,2,Taliglucerase alfa,True,False,False
K1:0R715588D2,3,Juniperus Sabina Leaf,True,False,False
K1:0RT0F1AT47,2,Elaeagnus Angustifolia Whole,True,False,False
K1:0S77U25XZ3,3,Fezakinumab,True,False,False
