page_a,page_b,width,jaccard,indexable_a,indexable_b
hemidesmus,kuding-tea,390,0.9647,false,false
hemidesmus,lactococcus-casei,390,0.9647,false,false
hemidesmus,lactococcus-rhamnosus,390,0.9647,false,false
hemidesmus,massularia-acuminata,390,0.9647,false,false
hemidesmus,oxytropis-falcate,390,0.9647,false,false
hemidesmus,pacific-yew,390,0.9647,false,false
hemidesmus,palm-wax,390,0.9647,false,false
hemidesmus,pseudomonas-calcis,390,0.9647,false,false
hemidesmus,rehmannia-elata,390,0.9647,false,false
hemidesmus,short-buchu,390,0.9647,false,false
hemidesmus,sichuan-lovage,390,0.9647,false,false
hemidesmus,taxillus-chinensis,390,0.9647,false,false
hemidesmus,thymus-satureioides,390,0.9647,false,false
hemidesmus,tiger-nut,390,0.9647,false,false
hemidesmus,valine-pyroglutamate,390,0.9647,false,false
hemidesmus,white-willow,390,0.9647,false,false
hemidesmus,wild-bergamot,390,0.9647,false,false
jatoba,jujube-seeds,390,0.9647,false,false
jatoba,kuding-tea,390,0.9647,false,false
jatoba,lactococcus-casei,390,0.9647,false,false
jatoba,lactococcus-rhamnosus,390,0.9647,false,false
jatoba,massularia-acuminata,390,0.9647,false,false
jatoba,oxytropis-falcate,390,0.9647,false,false
jatoba,pacific-yew,390,0.9647,false,false
jatoba,palm-wax,390,0.9647,false,false
jatoba,pseudomonas-calcis,390,0.9647,false,false
jatoba,rehmannia-elata,390,0.9647,false,false
jatoba,short-buchu,390,0.9647,false,false
jatoba,sichuan-lovage,390,0.9647,false,false
jatoba,taxillus-chinensis,390,0.9647,false,false
jatoba,thymus-satureioides,390,0.9647,false,false
jatoba,tiger-nut,390,0.9647,false,false
jatoba,valine-pyroglutamate,390,0.9647,false,false
jatoba,white-willow,390,0.9647,false,false
jatoba,wild-bergamot,390,0.9647,false,false
jujube-seeds,millettia,390,0.9647,false,false
jujube-seeds,peptidase,390,0.9647,false,false
jujube-seeds,pokeweed,390,0.9647,false,false
jujube-seeds,pseudostellaria,390,0.9647,false,false
jujube-seeds,rupturewort,390,0.9647,false,false
jujube-seeds,siler,390,0.9647,false,false
jujube-seeds,testes,390,0.9647,false,false
kuding-tea,millettia,390,0.9647,false,false
kuding-tea,peptidase,390,0.9647,false,false
kuding-tea,pokeweed,390,0.9647,false,false
kuding-tea,pseudostellaria,390,0.9647,false,false
kuding-tea,rupturewort,390,0.9647,false,false
kuding-tea,siler,390,0.9647,false,false
kuding-tea,testes,390,0.9647,false,false
lactococcus-casei,millettia,390,0.9647,false,false
lactococcus-casei,peptidase,390,0.9647,false,false
lactococcus-casei,pokeweed,390,0.9647,false,false
lactococcus-casei,pseudostellaria,390,0.9647,false,false
lactococcus-casei,rupturewort,390,0.9647,false,false
lactococcus-casei,siler,390,0.9647,false,false
lactococcus-casei,testes,390,0.9647,false,false
lactococcus-rhamnosus,millettia,390,0.9647,false,false
lactococcus-rhamnosus,peptidase,390,0.9647,false,false
lactococcus-rhamnosus,pokeweed,390,0.9647,false,false
lactococcus-rhamnosus,pseudostellaria,390,0.9647,false,false
