key,tier,displayName,normalised_name,unii_held_by_corpus,pubchem_cid,pubchem_inchikey,cids_returned_for_name,corpus_cid,corpus_cid_agrees,confirmation
K1:S66Z65E10T,3,Cemdisiran,cemdisiran,S66Z65E10T,126480325,LQRNAUZEMLGYOX-LZVIIAQDSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:SJ82PK3HWA,3,Eftilagimod alfa,eftilagimod alfa,SJ82PK3HWA,131704504,ZWKREDJJELOWKN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:SL4SX1O487,3,Arabinogalactan,arabinogalactan,SL4SX1O487,24847856,SATHPVQTSSUFFW-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:T2I226K69M,2,ZICONOTIDE ACETATE,ziconotide,T2I226K69M,16135415,BPKIMPVREBSLAJ-QTBYCLKRSA-N,1,72941949,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:TFE5C4K9WW,3,EFROFILCON A,efrofilcon a,TFE5C4K9WW,133065440,OILWNRVCSJVVLB-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:V74I849BP9,3,Imsamotide,imsamotide,V74I849BP9,167312372,AWVBBFQUFXCVGF-YFGWCFLESA-N,1,167312372,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:VIF565UC2G,2,Melaleuca Alternifolia Leaf Oil,melaleuca alternifolia leaf oil,VIF565UC2G,22833361,ZKAQFYDDTYGBBV-UHFFFAOYSA-L,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:VQV36CJX3K,3,Oximbomotide,oximbomotide,VQV36CJX3K,168510688,LEPHCSIVDRSUBA-ODURPPJLSA-N,1,168510687,False,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:VSI302RYSR,1,Colestilan,colestilan,VSI302RYSR,65840,DEMLYXMVPJAVFU-UHFFFAOYSA-N,1,65840,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:W2FH8O2BBE,2,Caraway,caraway,W2FH8O2BBE,320761,WHGYBXFWUBPSRW-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:WCQ89A7RAX,3,Omramotide,omramotide,WCQ89A7RAX,168510687,NMGKJFBSTPCKAQ-IZODFUJNSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:WK97EQG57S,2,Croton Oil,croton oil,WK97EQG57S,899,OVRNDRQMDRJTHS-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:WQE456AV0K,3,Tendamistat,tendamistat,WQE456AV0K,100943155,QFVHHVFVZLFPHM-UCEBDAAVSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:WUB68Y35M7,3,Rose Oil,rose oil,WUB68Y35M7,637566,GLZPCOQZEFWAFX-JXMROGBWSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:X19199D45C,3,Suleparoid sodium,suleparoid,X19199D45C,53477715,AUQASCCBXZRMEG-RHKLHVFKSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:XC5UMP9I5F,2,Sassafras,sassafras,XC5UMP9I5F,5144,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:XK4IUX8MNB,2,Hypericum Perforatum,hypericum perforatum,XK4IUX8MNB,3663,YDOIFHVUBCIUHF-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:Y5JS7YM46F,3,Corydalis,corydalis,Y5JS7YM46F,72301,AEQDJSLRWYMAQI-KRWDZBQOSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:Z95S6G8201,3,Laureth-7,laureth 7,Z95S6G8201,656641,ONJQDTZCDSESIW-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:ZW9ZGL8X6F,3,Sucantomotide,sucantomotide,ZW9ZGL8X6F,168510689,DGQROMTVYDAXAP-YTAGXALCSA-N,1,168510689,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL1201664,2,INSULIN ASPART PROTAMINE RECOMBINANT,insulin aspart protamine recombinant,,16132418,VOMXSOIBEJBQNF-UTTRGDHVSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108241,3,Colextran,colextran,,230181,LRNBWFXCDULFQF-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108422,3,Leuciglumer,leuciglumer,,68661,ACYNOJOVIUFXEQ-KDDYFZQKSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108456,3,OCUFILCON D,ocufilcon d,,91932550,KKOWZRLUUCIGQY-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108741,3,Simeticone,simeticone,,6433516,AMTWCFIAVKBGOD-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108964,1,"Insulin, isophane",insulin isophane,,24839622,LEMUFSYUPGXXCM-JNEQYSBXSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108966,1,Neutral insulin injection,neutral insulin injection,,118984380,NOESYZHRGYRDHS-ZYCCASTOSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2108974,1,INSULIN HUMAN ZINC,insulin human,,70678557,YAJCHEVQCOHZDC-QMMNLEPNSA-N,3,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2109421,3,4B5,4b5,,5464378,MURCDOXDAHPNRQ-OWIQAHIBSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2109462,3,C01275,c01275,,5280421,APKXMKWCGDBYNV-AATRIKPKSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2109483,3,SC-1,sc 1,,12003241,NBZFRTJWEIHFPF-UHFFFAOYSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL2109588,3,CA2,ca2,,271,BHPQYMZQTOCNFJ-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3544936,3,XL-844,xl 844,,10016910,UVSSZSQSZGKMAL-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3544945,3,SAR-113945,sar 113945,,25033035,ICBAJJBPHLBVEN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3544953,3,SAF312,saf312,,25138363,JFPXRFIBKKSHGY-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3544958,3,CER-002,cer 002,,9957216,AHKBZTVLVLACNP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545031,3,MK-1029,mk 1029,,146156753,OCTAJIYEDUUENF-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545050,3,BMS-817378,bms 817378,,24794418,VNBRGSXVFBYQNN-UHFFFAOYSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545106,3,TM30339,tm30339,,56603693,ZECLZCGVVAIWHI-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545114,3,KD3010,kd3010,,75412604,SUTQDFLDQUPTKX-QVLMFNNZSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545130,3,GALYFILCON A,galyfilcon a,,44146076,ZOPSJJCUEOEROC-NSQCPRBHSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545134,3,LY-2780301,ly 2780301,,46186926,YDFKZIGAUIKZGP-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545167,3,FE 202767,fe 202767,,76073634,PVVHQWISMVJHFK-NIFJBHDKSA-N,3,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545174,3,GSK2881078,gsk2881078,,86709174,SKDVMPZQJMZEAC-SECBINFHSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545193,3,MSC-2364447,msc 2364447,,71479709,QUIWHXQETADMGN-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K3:CHEMBL3545199,3,RG-7741,rg 7741,,46917793,BAZRWWGASYWYGB-SNVBAGLBSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
