key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with
K1:370V52HE4B,"Glyceryl 1-PHOSPHATE, (R)-","Glyceryl 1-PHOSPHATE, (R)- (Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic)","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:9NTI6P3O4X;K1:D3AEF6S35P;K1:WR963Y5QYW
K1:9NTI6P3O4X,Glyceryl 1-PHOSPHATE,Glyceryl 1-PHOSPHATE (glycerol-3-phosphate dehydrogenase 1),glycerol-3-phosphate dehydrogenase 1,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:370V52HE4B;K1:D3AEF6S35P;K1:WR963Y5QYW
K1:D3AEF6S35P,Glyceryl 1-OLEATE,Glyceryl 1-OLEATE (Phospholipase A2 group IIA),Phospholipase A2 group IIA,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:370V52HE4B;K1:9NTI6P3O4X;K1:WR963Y5QYW
K1:WR963Y5QYW,Glyceryl 1-LAURATE,Glyceryl 1-LAURATE (Beta-lactamase),Beta-lactamase,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:370V52HE4B;K1:9NTI6P3O4X;K1:D3AEF6S35P
K1:3I1VBB7AXH,Glycol Salicylate,Glycol Salicylate (C9H10O4),C9H10O4,molecular formula,glycol,K1:FC72KVT52F
K1:FC72KVT52F,Glycol,Glycol (C2H6O2),C2H6O2,molecular formula,glycol,K1:3I1VBB7AXH
K1:5IE62321P4,Gramicidin,Gramicidin (mixture),mixture,GSRS substance class,gramicidin,K1:WHM29QA23F
K1:WHM29QA23F,Gramicidin s,Gramicidin s (small molecule),small molecule,GSRS substance class,gramicidin,K1:5IE62321P4
K1:12133JR80S,Guanosine,Guanosine (cell proliferation),cell proliferation,Inxight primary target,guanosine,K1:16597955EP
K1:16597955EP,Guanosine Monophosphate,Guanosine Monophosphate (RNA biosynthetic process),RNA biosynthetic process,Inxight primary target,guanosine,K1:12133JR80S
K1:3C4Z4KG52T,HAFNIUM OXIDE,HAFNIUM OXIDE (HfO2),HfO2,molecular formula,hafnium,K1:X71938L1DO
K1:X71938L1DO,Hafnium,Hafnium (Hf),Hf,molecular formula,hafnium,K1:3C4Z4KG52T
K1:2Y87E22X71,Hydrocortisone Phosphate,Hydrocortisone Phosphate (C21H31O8P),C21H31O8P,molecular formula,hydrocortisone,K1:O6550D6K3A;K1:WI4X0X7BPJ
K1:O6550D6K3A,Hydrocortisone Probutate,Hydrocortisone Probutate (C28H40O7),C28H40O7,molecular formula,hydrocortisone,K1:2Y87E22X71;K1:WI4X0X7BPJ
K1:WI4X0X7BPJ,Hydrocortisone,Hydrocortisone (C21H30O5),C21H30O5,molecular formula,hydrocortisone,K1:2Y87E22X71;K1:O6550D6K3A
K1:46CWK97Z3K,Ixazomib Citrate,Ixazomib Citrate (C20H23BCl2N2O9),C20H23BCl2N2O9,molecular formula,ixazomib,K1:71050168A2
K1:71050168A2,Ixazomib,Ixazomib (C14H19BCl2N2O4),C14H19BCl2N2O4,molecular formula,ixazomib,K1:46CWK97Z3K
K1:2P299V784P,Lead,Lead (Pb),Pb,molecular formula,lead,K1:OTL90F2GLT
K1:OTL90F2GLT,Lead Iodide,Lead Iodide (I2Pb),I2Pb,molecular formula,lead,K1:2P299V784P
