key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:N2GI8B1GK7,Cefotaxime,Cefotaxime (C16H17N5O7S2),C16H17N5O7S2,molecular formula,cefotaxime,K1:4X4EG5ARZ4,page-title
K1:N57JI2K7WP,Zinc Sulfate Heptahydrate,Zinc Sulfate Heptahydrate (UNII N57JI2K7WP),UNII N57JI2K7WP,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:SOI2LOH54Z,page-title
K1:N6BAA189V1,Ferric Phosphate,Ferric Phosphate (FeO4P),FeO4P,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:N8NP6FR80R,Cupric Phosphate,Cupric Phosphate (Cu3O8P2),Cu3O8P2,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:P484053J2Y;K1:S2QG84156O,page-title
K1:N91BDP6H0X,Choline,Choline (C5H14NO+),C5H14NO+,molecular formula,choline,K1:45I14D8O27;K1:7THJ3EG9SY;K1:KD510K1IQW;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M,page-title
K1:N9E3X5056Q,Boron,Boron (B),B,molecular formula,boron,K1:483W67CPF4;K1:S043P4DV22,page-title
K1:N9J10KFG94,DEOXYURIDINE MONOPHOSPHATE,DEOXYURIDINE MONOPHOSPHATE (C9H13N2O8P),C9H13N2O8P,molecular formula,deoxyuridine,K1:W78I7AY22C,page-title
K1:N9PR3490H9,".ALPHA.-TOCOPHEROL, D-",".ALPHA.-TOCOPHEROL, D- (UNII N9PR3490H9)",UNII N9PR3490H9,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:A7E6112E4N;K1:LU4B53JYVE;K1:WR1WPI7EW8,page-title
K1:NBZ3QY004S,Magnesium Hydroxide,Magnesium Hydroxide (structure VTHJTEIRLNZDEV),structure VTHJTEIRLNZDEV,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:NG66S4H2RL,Loperamide oxide,Loperamide oxide (oxidation-reduction process),oxidation-reduction process,Inxight primary target,loperamide,K1:6X9OC3H4II,page-title
K1:NIJ123W41V,Plicamycin,Plicamycin (structure CFCUWKMKBJTWLW),structure CFCUWKMKBJTWLW,InChIKey skeleton,plicamycin,K2:XDKMHMINQXATOR-RCFLUEAHSA-N,page-title
K1:NJ5VT0FKLJ,Ammonium Carbonate,Ammonium Carbonate (UNII NJ5VT0FKLJ),UNII NJ5VT0FKLJ,FDA UNII,ammonium,K1:01Q9PC255D;K1:67M901L9NQ;K1:R0JB3224WS,page-title
K1:NVG71ZZ7P0,Sodium Acetate Anhydrous,Sodium Acetate Anhydrous (C2H3NaO2),C2H3NaO2,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:O09USB7Z44,Strontium Chloride Hexahydrate,Strontium Chloride Hexahydrate (H12Cl2O6Sr),H12Cl2O6Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:YZS2RPE8LE,page-title
K1:O10DDW6JOO,DIHYDROXYACETONE,DIHYDROXYACETONE (C3H6O3),C3H6O3,molecular formula,dihydroxyacetone,K1:T7KF2T6W95,page-title
K1:O2GMZ0LF5W,Fluticasone Propionate,Fluticasone Propionate (Progesterone receptor),Progesterone receptor,Inxight primary target,fluticasone,K1:JS86977WNV,page-title
K1:O3B55K4YKI,Calcium Fluoride,Calcium Fluoride (UNII O3B55K4YKI),UNII O3B55K4YKI,FDA UNII,calcium,K1:M4I0D6VV5M;K1:OFM21057LP;K1:PF5DZW74VN;K1:SY7Q814VUP;K1:WAT0DDB505,page-title
K1:O6550D6K3A,Hydrocortisone Probutate,Hydrocortisone Probutate (C28H40O7),C28H40O7,molecular formula,hydrocortisone,K1:2Y87E22X71;K1:WI4X0X7BPJ,page-title
K1:O7DRJ6R4DW,TEDIZOLID PHOSPHATE,TEDIZOLID PHOSPHATE (C17H16FN6O6P),C17H16FN6O6P,molecular formula,tedizolid,K1:97HLQ82NGL,page-title
K1:O7N0Y11U8K,Brivudine Monophosphate,Brivudine Monophosphate (C11H14BrN2O8P),C11H14BrN2O8P,molecular formula,brivudine,K1:2M3055079H,page-title
K1:O9FVV27P11,RIBAVIRIN MONOPHOSPHATE,RIBAVIRIN MONOPHOSPHATE (C8H13N4O8P),C8H13N4O8P,molecular formula,ribavirin,K1:49717AWG6K,page-title
K1:OFM21057LP,Calcium Chloride Anhydrous,Calcium Chloride Anhydrous (UNII OFM21057LP),UNII OFM21057LP,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:PF5DZW74VN;K1:SY7Q814VUP;K1:WAT0DDB505,page-title
K1:OTL90F2GLT,Lead Iodide,Lead Iodide (I2Pb),I2Pb,molecular formula,lead,K1:2P299V784P,page-title
K1:P2K93U8740,Fludarabine,Fludarabine (C10H12FN5O4),C10H12FN5O4,molecular formula,fludarabine,K1:1X9VK9O1SC,page-title
K1:P2Y1C6M9PS,"Sodium LACTATE, L-","Sodium LACTATE, L- (C3H5NaO3)",C3H5NaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:WIQ1H85SYP,page-title
K1:P484053J2Y,CUPRIC CHLORIDE ANHYDROUS,CUPRIC CHLORIDE ANHYDROUS (Cl2Cu),Cl2Cu,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:S2QG84156O,page-title
K1:PE152PYI6M,"MAGNESIUM LACTATE, L-","MAGNESIUM LACTATE, L- (structure OVGXLJDWSLQDRT)",structure OVGXLJDWSLQDRT,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:PF5DZW74VN,Calcium Hydroxide,Calcium Hydroxide (UNII PF5DZW74VN),UNII PF5DZW74VN,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:OFM21057LP;K1:SY7Q814VUP;K1:WAT0DDB505,page-title
K1:Q05R77UO7P,PYRIDOXAMINE PHOSPHATE ANHYDROUS,PYRIDOXAMINE PHOSPHATE ANHYDROUS (C8H13N2O5P),C8H13N2O5P,molecular formula,pyridoxamine,K1:6466NM3W93,page-title
K1:Q77PE87U4K,Stavudine Monophosphate,Stavudine Monophosphate (C10H13N2O7P),C10H13N2O7P,molecular formula,stavudine,K1:BO9LE4QFZF,page-title
K1:QBL8IZH14X,Clocortolone Pivalate,Clocortolone Pivalate (C27H36ClFO5),C27H36ClFO5,molecular formula,clocortolone,K1:85061HTR8T,page-title
K1:QIH4K96K7J,TRIETHYL PHOSPHATE,TRIETHYL PHOSPHATE (C6H15O4P),C6H15O4P,molecular formula,triethyl,K1:8Z96QXD6UM,page-title
K1:QK8899250F,Ferric Pyrophosphate,Ferric Pyrophosphate (Fe4O21P6),Fe4O21P6,molecular formula,ferric pyrophosphate,K1:UBY79OCO9G,page-title
K1:QQ3K1P45DF,Thymidine 5'-DIPHOSPHATE,Thymidine 5'-DIPHOSPHATE (C10H16N2O11P2),C10H16N2O11P2,molecular formula,thymidine 5,K1:43W3021X6C,page-title
K1:QQE170PANO,Manganese Chloride,Manganese Chloride (H8Cl2MnO4),H8Cl2MnO4,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:QTL48N278K,Estrone Sulfate,Estrone Sulfate (C18H22O5S),C18H22O5S,molecular formula,estrone,K1:2DI9HA706A,page-title
K1:R03O05RB0P,Mercuric Iodide,Mercuric Iodide (HgI2),HgI2,molecular formula,mercuric,K1:53GH7MZT1R;K1:IY191986AO,page-title
K1:R0JB3224WS,Ammonium Bromide,Ammonium Bromide (UNII R0JB3224WS),UNII R0JB3224WS,FDA UNII,ammonium,K1:01Q9PC255D;K1:67M901L9NQ;K1:NJ5VT0FKLJ,page-title
K1:R5L488RY0Q,Ferrous Fumarate,Ferrous Fumarate (C4H2FeO4),C4H2FeO4,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:R74O7T8569,Radium Bromide,Radium Bromide (Br2Ra),Br2Ra,molecular formula,radium,K1:KKO873WR2Z;K1:W90AYD6R3Q,page-title
K1:RHH3W8F1CO,Metrizamide,Metrizamide (structure DTZMSDADRKLCQE),structure DTZMSDADRKLCQE,InChIKey skeleton,metrizamide,K2:BAQCROVBDNBEEB-UBYUBLNFSA-N,page-title
K1:RJ00KV3VTG,Radium Ra-223 Dichloride,Radium Ra-223 Dichloride (Cl2Ra),Cl2Ra,molecular formula,radium ra 223,K1:8BR2SOL3L1,page-title
K1:RRW32X4U1F,Dienestrol,Dienestrol (C18H18O2),C18H18O2,molecular formula,dienestrol,K1:D20D148WPQ,page-title
K1:RTJ1W9DF34,Cobaltous Iodide,Cobaltous Iodide (CoI2),CoI2,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:H7965X29HX,page-title
K1:RUM6K67ESG,Treprostinil,Treprostinil (C23H34O5),C23H34O5,molecular formula,treprostinil,K1:99S2PY5BN2,page-title
K1:S043P4DV22,Boron Citrate,Boron Citrate (C6H5BO7),C6H5BO7,molecular formula,boron,K1:483W67CPF4;K1:N9E3X5056Q,page-title
K1:S2QG84156O,Cupric Chloride,Cupric Chloride (H4Cl2CuO2),H4Cl2CuO2,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:LRX7AJ16DT;K1:N8NP6FR80R;K1:P484053J2Y,page-title
K1:S38N85C5G0,Zirconium Oxide,Zirconium Oxide (O2Zr),O2Zr,molecular formula,zirconium,K1:1XHF39056H;K1:C6V6S92N3C;K1:Z88176T871,page-title
K1:S7V92P67HO,Arsenic Trioxide,Arsenic Trioxide (structure IKWTVSLWAPBBKU),structure IKWTVSLWAPBBKU,InChIKey skeleton,arsenic trioxide,K2:MOQADKPFYVWPSE-UHFFFAOYSA-N,page-title
K1:SK47B8698T,Magnesium Sulfate Heptahydrate,Magnesium Sulfate Heptahydrate (structure WRUGWIBCXHJTDG),structure WRUGWIBCXHJTDG,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:SOI2LOH54Z,Zinc Oxide,Zinc Oxide (UNII SOI2LOH54Z),UNII SOI2LOH54Z,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP,page-title
K1:SY7Q814VUP,CALCIUM,CALCIUM (UNII SY7Q814VUP),UNII SY7Q814VUP,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:OFM21057LP;K1:PF5DZW74VN;K1:WAT0DDB505,page-title
K1:T0G94L07ZD,Scandium Oxide,Scandium Oxide (O3Sc2),O3Sc2,molecular formula,scandium,K1:53PH22NTYW;K1:YUJ4U1EW7R,page-title
K1:T58MSI464G,Acarbose,Acarbose (structure CEMXHAPUFJOOSV),structure CEMXHAPUFJOOSV,InChIKey skeleton,acarbose,K2:XUFXOAAUWZOOIT-UGEKTDRHSA-N,page-title
K1:T66CZ53RP4,Ytterbium Oxide,Ytterbium Oxide (O3Yb2),O3Yb2,molecular formula,ytterbium,K1:MNQ4O4WSI1,page-title
K1:T7KF2T6W95,Dihydroxyacetone Phosphate,Dihydroxyacetone Phosphate (C3H7O6P),C3H7O6P,molecular formula,dihydroxyacetone,K1:O10DDW6JOO,page-title
K1:TI8NM689HW,Barium Bromide,Barium Bromide (BaBr2),BaBr2,molecular formula,barium,K1:0VK51DA1T2;K1:24GP945V5T;K1:WKC4T7680A,page-title
K1:TN9BEX005G,Bivalirudin,Bivalirudin (UNII TN9BEX005G),UNII TN9BEX005G,FDA UNII,bivalirudin,K1:8631NP8608,page-title
K1:TPY09G7XIR,Fluorescein,Fluorescein (UNII TPY09G7XIR),UNII TPY09G7XIR,FDA UNII,fluorescein,K1:93X55PE38X,page-title
K1:TU1X77K34Q,ARGININE GLUTAMATE,ARGININE GLUTAMATE (C11H23N5O6),C11H23N5O6,molecular formula,arginine,K1:94ZLA3W45F;K1:F7LTH1E20Y;K1:LZB1G2I725,page-title
K1:TU7HW0W0QT,Compound solution of sodium lactate,Compound solution of sodium lactate (Sodium lactate),Sodium lactate,FDA substance register name,compound solution of,K1:451W47IQ8X,page-title
K1:TW371I5GLO,Salcolex,Salcolex (C24H46MgN2O16S),C24H46MgN2O16S,molecular formula,salcolex,K1:7UP781YBR6,page-title
K1:U015TT5I8H,Bismuth,Bismuth (Bi),Bi,molecular formula,bismuth,K1:A6I4E79QF1,page-title
K1:U1B11I423Z,Ferrous Gluconate,Ferrous Gluconate (C12H26FeO16),C12H26FeO16,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:U38V3ZVV3V,Ferric Chloride,Ferric Chloride (Cl3Fe),Cl3Fe,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:U3GJ0TB404,"Bornyl CHLORIDE, (+)-","Bornyl CHLORIDE, (+)- ((+))",(+),stereo descriptor in the recorded name,bornyl,K1:24QAP1VCUX,page-title
K1:U6XMS339F5,ABIRATERONE DECANOATE,ABIRATERONE DECANOATE (C34H49NO2),C34H49NO2,molecular formula,abiraterone,K1:EM5OCB9YJ6,page-title
K1:U70U4T7N6S,Manganese Bromide,Manganese Bromide (Br2Mn),Br2Mn,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:W00LYS4T26,page-title
K1:UBY79OCO9G,FERRIC PYROPHOSPHATE CITRATE,FERRIC PYROPHOSPHATE CITRATE (C18H24Fe4O42P6),C18H24Fe4O42P6,molecular formula,ferric pyrophosphate,K1:QK8899250F,page-title
K1:UVP74NG1C5,FERRIC AMMONIUM CITRATE,FERRIC AMMONIUM CITRATE (C6H11FeNO7+3),C6H11FeNO7+3,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:W108RK810P,page-title
K1:V8QS7WES60,Yttrium Fluoride,Yttrium Fluoride (F3Y),F3Y,molecular formula,yttrium,K1:D60QT594ZJ;K1:X8071685XT,page-title
K1:W00LYS4T26,Manganese Sulfate,Manganese Sulfate (H2MnO5S),H2MnO5S,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S,page-title
K1:W108RK810P,FERRIC GLUCONATE TRIHYDRATE,FERRIC GLUCONATE TRIHYDRATE (C18H39FeO24),C18H39FeO24,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:9RDO128EH7;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5,page-title
K1:W75590VPKQ,Methenolone Acetate,Methenolone Acetate (C22H32O3),C22H32O3,molecular formula,methenolone,K1:0SPD480WFH,page-title
K1:W78I7AY22C,DEOXYURIDINE,DEOXYURIDINE (C9H12N2O5),C9H12N2O5,molecular formula,deoxyuridine,K1:N9J10KFG94,page-title
K1:W90AYD6R3Q,RADIUM,RADIUM (Ra),Ra,molecular formula,radium,K1:KKO873WR2Z;K1:R74O7T8569,page-title
K1:WAT0DDB505,Calcium Sulfate,Calcium Sulfate (UNII WAT0DDB505),UNII WAT0DDB505,FDA UNII,calcium,K1:M4I0D6VV5M;K1:O3B55K4YKI;K1:OFM21057LP;K1:PF5DZW74VN;K1:SY7Q814VUP,page-title
K1:WHI7HQ7H85,Uridine,Uridine (C9H12N2O6),C9H12N2O6,molecular formula,uridine,K1:2WP61F175M;K1:E2OU15WN0N,page-title
K1:WHM29QA23F,Gramicidin s,Gramicidin s (small molecule),small molecule,GSRS substance class,gramicidin,K1:5IE62321P4,page-title
K1:WI4X0X7BPJ,Hydrocortisone,Hydrocortisone (C21H30O5),C21H30O5,molecular formula,hydrocortisone,K1:2Y87E22X71;K1:O6550D6K3A,page-title
K1:WIQ1H85SYP,Sodium Salicylate,Sodium Salicylate (C7H5NaO3),C7H5NaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS,page-title
K1:WKC4T7680A,Barium Iodide,Barium Iodide (BaI2),BaI2,molecular formula,barium,K1:0VK51DA1T2;K1:24GP945V5T;K1:TI8NM689HW,page-title
K1:WR1WPI7EW8,".ALPHA.-TOCOPHEROL ACETATE, DL-",".ALPHA.-TOCOPHEROL ACETATE, DL- (UNII WR1WPI7EW8)",UNII WR1WPI7EW8,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:A7E6112E4N;K1:LU4B53JYVE;K1:N9PR3490H9,page-title
K1:WR963Y5QYW,Glyceryl 1-LAURATE,Glyceryl 1-LAURATE (Beta-lactamase),Beta-lactamase,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:370V52HE4B;K1:9NTI6P3O4X;K1:D3AEF6S35P,page-title
K1:WZB719DDER,Chromic Bromide,Chromic Bromide (Br3Cr),Br3Cr,molecular formula,chromic,K1:AQ86ZJ9U98;K1:Y0C99N5TMZ,page-title
K1:X2RN3Q8DNE,GALACTOSE,GALACTOSE (structure GZCGUPFRVQAUEE),structure GZCGUPFRVQAUEE,InChIKey skeleton,galactose,K2:WQZGKKKJIJFFOK-SVZMEOIVSA-N,page-title
K1:X3D0O800AJ,Becampanel,Becampanel (structure ABFMMCZFKUIJGQ),structure ABFMMCZFKUIJGQ,InChIKey skeleton,becampanel,K2:DDOAQMGXVXFNSH-UHFFFAOYSA-N,page-title
K1:X71938L1DO,Hafnium,Hafnium (Hf),Hf,molecular formula,hafnium,K1:3C4Z4KG52T,page-title
K1:X8071685XT,Yttrium Oxide,Yttrium Oxide (O3Y2),O3Y2,molecular formula,yttrium,K1:D60QT594ZJ;K1:V8QS7WES60,page-title
K1:XM33Q67UVH,GADOFOSVESET TRISODIUM,GADOFOSVESET TRISODIUM (C33H40GdN3Na3O15P),C33H40GdN3Na3O15P,molecular formula,gadofosveset,K1:E65RW73PHS,page-title
K1:XO23PGZ0SM,PF 00477736,PF 00477736 (structure NDEXUOWTGYUVGA),structure NDEXUOWTGYUVGA,InChIKey skeleton,pf 00477736,K2:YFNWWNRZJGMDBR-UHFFFAOYSA-N,page-title
K1:XQ43H3V6M1,Subasumstat,Subasumstat (structure LXRZVMYMQHNYJB),structure LXRZVMYMQHNYJB,InChIKey skeleton,subasumstat,K2:IAKPXYFFBURVCV-JWDANJKUSA-N,page-title
K1:XQG9Q75WDN,SODIUM PENTABORATE,SODIUM PENTABORATE (B5NaO8),B5NaO8,molecular formula,sodium pentaborate,K1:C857R7G2U6,page-title
K1:Y0C99N5TMZ,Chromic Sulfate,Chromic Sulfate (Cr2O12S3),Cr2O12S3,molecular formula,chromic,K1:AQ86ZJ9U98;K1:WZB719DDER,page-title
K1:Y4907O6MFD,Vasopressin,Vasopressin (protein),protein,GSRS substance class,vasopressin,K1:4R069M4O1P,page-title
K1:Y52BK1W96C,Sodium Perborate,Sodium Perborate (BNaO3),BNaO3,molecular formula,sodium perborate,K2:JBUKJLNBQDQXLI-UHFFFAOYSA-N,page-title
K1:YE20AG583K,Xeruborbactam Hydroxide,Xeruborbactam Hydroxide (C10H9BFO5-),C10H9BFO5-,molecular formula,xeruborbactam,K1:DE79L822UY,page-title
K1:YEI21W005Y,Metformin glycinate,Metformin glycinate (C6H16N6O2),C6H16N6O2,molecular formula,metformin,K1:9100L32L2N,page-title
K1:YJO1F9W10R,Betamethasone Phosphate,Betamethasone Phosphate (C22H30FO8P),C22H30FO8P,molecular formula,betamethasone,K1:9842X06Q6M,page-title
K1:YL6O37RD1S,RESORCINOL MONOACETATE,RESORCINOL MONOACETATE (C8H8O3),C8H8O3,molecular formula,resorcinol,K1:YUL4LO94HK,page-title
K1:YUJ4U1EW7R,Scandium,Scandium (Sc),Sc,molecular formula,scandium,K1:53PH22NTYW;K1:T0G94L07ZD,page-title
K1:YUL4LO94HK,Resorcinol,Resorcinol (C6H6O2),C6H6O2,molecular formula,resorcinol,K1:YL6O37RD1S,page-title
K1:YZS2RPE8LE,STRONTIUM,STRONTIUM (Sr),Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EFY8GJS81Z;K1:EKE8PS9J6Z;K1:O09USB7Z44,page-title
K1:Z56D82TX8V,FERROUS ASPARTATE,FERROUS ASPARTATE (C4H5FeNO4),C4H5FeNO4,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:ZRW631PTZD,page-title
K1:Z88176T871,Zirconium Chloride,Zirconium Chloride (Cl4Zr),Cl4Zr,molecular formula,zirconium,K1:1XHF39056H;K1:C6V6S92N3C;K1:S38N85C5G0,page-title
K1:ZCX619U9A1,Chloramphenicol Succinate,Chloramphenicol Succinate (C15H16Cl2N2O8),C15H16Cl2N2O8,molecular formula,chloramphenicol,K1:66974FR9Q1,page-title
K1:ZL6T4Y1XP8,Silver Phosphate,Silver Phosphate (Ag3O4P),Ag3O4P,molecular formula,silver,K1:81M6Z3D1XE;K1:95IT3W8JZE,page-title
K1:ZO2JV75L55,Fludeoxyglucose,Fludeoxyglucose (UNII ZO2JV75L55),UNII ZO2JV75L55,FDA UNII,fludeoxyglucose,K2:ZCXUVYAZINUVJD-IVMDWMLBSA-N,page-title
K1:ZP7R667SGD,BUTYL CHLORIDE,BUTYL CHLORIDE (C4H9Cl),C4H9Cl,molecular formula,butyl,K2:WPWHSFAFEBZWBB-UHFFFAOYSA-N,page-title
K1:ZRW631PTZD,FERROUS TARTRATE,FERROUS TARTRATE (C4H4FeO6),C4H4FeO6,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V,page-title
K2:AECDBHGVIIRMOI-UHFFFAOYSA-N,AEW-541,AEW-541 (C27H29N5O),C27H29N5O,molecular formula,aew 541,K2:USVCWSAJUAARAL-MEMLXQNLSA-N,page-title
K2:BAQCROVBDNBEEB-UBYUBLNFSA-N,Metrizamide,Metrizamide (structure BAQCROVBDNBEEB),structure BAQCROVBDNBEEB,InChIKey skeleton,metrizamide,K1:RHH3W8F1CO,page-title
K2:BMOINOKSLLYQQE-UHFFFAOYSA-N,MORPHOLINE SALICYLATE,MORPHOLINE SALICYLATE (C11H13NO4),C11H13NO4,molecular formula,morpholine,K1:8B2ZCK305O,page-title
K2:BRCHZKBUGSKTND-FQEVSTJZSA-N,Sovleplenib,Sovleplenib (structure BRCHZKBUGSKTND),structure BRCHZKBUGSKTND,InChIKey skeleton,sovleplenib,K1:9CL6353KHO,page-title
K2:BWTOCEGDOPMUFY-QHCPKHFHSA-N,Monlunabant,Monlunabant (structure BWTOCEGDOPMUFY),structure BWTOCEGDOPMUFY,InChIKey skeleton,monlunabant,K1:4G8X27X87A,page-title
K2:BXDZOYLPNAIDOC-UHFFFAOYSA-N,CPD 2,CPD 2 (C40H52N8O10S2),C40H52N8O10S2,molecular formula,cpd 2,K2:FYMVGXGSNIVSKY-NRFANRHFSA-N;K2:JGQPZPLJOBHHBK-UFXYQILXSA-N;K2:QUQTXFIMYFMULC-OGOZKGDESA-N,page-title
K2:BYBMHSADRRMVHY-UHFFFAOYSA-N,Monomethyl,Monomethyl (C7H12O4),C7H12O4,molecular formula,monomethyl,K1:45IUB1PX8R,page-title
K2:CDSBFDCCJJDFCV-CKZSCMLPSA-N,Satavaptan,Satavaptan (C33H45N3O7S),C33H45N3O7S,molecular formula,satavaptan,K1:AJS8S3P31H,page-title
K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,MAGNESIUM OXIDE,MAGNESIUM OXIDE (structure CPLXHLVBOLITMK),structure CPLXHLVBOLITMK,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T,page-title
K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,ANGIOTENSIN-II,ANGIOTENSIN-II (C44H67N13O12),C44H67N13O12,molecular formula,angiotensin ii,K2:CZGUSIXMZVURDU-JZXHSEFVSA-N,page-title
K2:CZGUSIXMZVURDU-JZXHSEFVSA-N,Angiotensin ii,Angiotensin ii (C50H71N13O12),C50H71N13O12,molecular formula,angiotensin ii,K2:CUKWUWBLQQDQAC-VEQWQPCFSA-N,page-title
