key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:Q3DQ78KOFY,Platensimycin,Platensimycin (ChEMBL CHEMBL411278),ChEMBL CHEMBL411278,ChEMBL molecule identifier,platensimycin,K2:CSOMAHTTWTVBFL-RRSCQWGLSA-N,relation-label
K1:Q3PJ4B4D0X,DIHYDREXIDINE,DIHYDREXIDINE (ChEMBL CHEMBL25856),ChEMBL CHEMBL25856,ChEMBL molecule identifier,dihydrexidine,K1:U4MPC92UC2,relation-label
K1:Q5ELR5A7Y5,Ragaglitazar,Ragaglitazar (ChEMBL CHEMBL24683),ChEMBL CHEMBL24683,ChEMBL molecule identifier,ragaglitazar,K2:WMUIIGVAWPWQAW-DEOSSOPVSA-N,relation-label
K1:QAO8PF7Q30,Primaquine,Primaquine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,primaquine,K1:MVR3634GX1,relation-label
K1:R420KW629U,Mephenytoin,Mephenytoin (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,mephenytoin,K1:D9818430MW,relation-label
K1:RA33EAC7KY,Fenoprofen,Fenoprofen (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,fenoprofen,K1:CR23L7LA3Y,relation-label
K1:RM4GJT3SMQ,Selgantolimod,Selgantolimod (ChEMBL CHEMBL4297614),ChEMBL CHEMBL4297614,ChEMBL molecule identifier,selgantolimod,K2:HTCJUBZBSJQWBW-CQSZACIVSA-N,relation-label
K1:S5A9TQN46W,CALANOLIDE A,CALANOLIDE A (ChEMBL CHEMBL267447),ChEMBL CHEMBL267447,ChEMBL molecule identifier,calanolide a,K2:NIDRYBLTWYFCFV-OAVHHTNSSA-N,relation-label
K1:S7UI8SM58A,Carnitine,Carnitine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,carnitine,K1:U9VY0ZOK7A,relation-label
K1:SS2LQQ8094,Vorbipiprant,Vorbipiprant (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,vorbipiprant,K1:TNK4EB6VB5,relation-label
K1:TBV5O16GAP,HIGENAMINE,HIGENAMINE (ChEMBL CHEMBL19344),ChEMBL CHEMBL19344,ChEMBL molecule identifier,higenamine,K1:6016M93W29;K1:P94O9O6QM5,relation-label
K1:TNK4EB6VB5,"VORBIPIPRANT, (+/-)-","VORBIPIPRANT, (+/-)- (recorded without stereochemistry)",recorded without stereochemistry,recorded stereochemistry,vorbipiprant,K1:SS2LQQ8094,relation-label
K1:TQ57I8046V,Suprofen,Suprofen (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,suprofen,K1:988GU2F9PE,relation-label
K1:U188XYD42P,Moxifloxacin,Moxifloxacin (Moxifloxacin Hydrochloride),Moxifloxacin Hydrochloride,FDA substance register name,moxifloxacin,K1:JU4MC5ZQ7G,relation-label
K1:U4MPC92UC2,"DIHYDREXIDINE, (-)-","DIHYDREXIDINE, (-)- (ChEMBL CHEMBL4280145)",ChEMBL CHEMBL4280145,ChEMBL molecule identifier,dihydrexidine,K1:Q3PJ4B4D0X,relation-label
K1:U9VY0ZOK7A,Carnitine,Carnitine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,carnitine,K1:S7UI8SM58A,relation-label
K1:UVL329170W,Cisapride,Cisapride (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,cisapride,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,relation-label
K1:UZX645YZ46,Mexiletine,Mexiletine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,mexiletine,K1:1U511HHV4Z,relation-label
K1:V3203SI72M,Hyoscyamine,Hyoscyamine (UNII V3203SI72M),UNII V3203SI72M,FDA UNII,hyoscyamine,K1:PX44XO846X,relation-label
K1:V87GJA0G54,Isoleucine,Isoleucine (structure AGPKZVBTJJNPAG-RFZPGFLSSA-N),structure AGPKZVBTJJNPAG-RFZPGFLSSA-N,InChIKey,isoleucine,K1:04Y7590D77,relation-label
K1:VI08KS44V0,Rociverine,Rociverine (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,rociverine,K2:XPYLKZZOBVLVHB-UHFFFAOYSA-N,relation-label
K1:VNU2UF1MBL,Enflurane,Enflurane (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,enflurane,K1:91I69L5AY5,relation-label
K1:W6KX9E6D8X,UREA C 13,UREA C 13 (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,urea c 13,HOLD:existing:urea-c-13,relation-label
K1:WBZ6M63TEE,UREA C 14,UREA C 14 (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,urea c 14,HOLD:existing:urea-c-14,relation-label
K1:WK2XYI10QM,Ibuprofen,Ibuprofen (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,ibuprofen,K1:99W8H60N62,relation-label
K1:WLL781TH5X,Iopanoic Acid,Iopanoic Acid (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,iopanoic acid,K1:FE9794P71J,relation-label
K1:WV5EC51866,Sibutramine,Sibutramine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,sibutramine,K1:2K5E83H3LL,relation-label
K1:WZG3J2MCOL,Granisetron,Granisetron (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,granisetron,K2:MFWNKCLOYSRHCJ-UHFFFAOYSA-N,relation-label
