key,slug,tier,display_name,indexable
K1:UVU4X1103P,lg-100268,3,Lg 100268,f
K1:UW0H6X9FSQ,ichorcumab,3,ICHORCUMAB,f
K1:UW86K581WY,capsicum-oleoresin,1,Capsicum Oleoresin,f
K1:UWB1PR3UR6,4-flourobenzenesulfonamide,3,4-FLOUROBENZENESULFONAMIDE,f
K1:UWU93Y99R3,lampalizumab,3,Lampalizumab,f
K1:UX0N37CMVH,7-nitroindazole,3,7-NITROINDAZOLE,f
K1:UX17773O15,avoralstat,3,Avoralstat,f
K1:UX1FR00T7Y,gallium-68ga-rofapitide-tetraxetan,3,Gallium (68ga) rofapitide tetraxetan,f
K1:UX33I93GLS,barusiban,3,Barusiban,f
K1:UX6OWY2V7J,codeine,1,Codeine Anhydrous,f
K1:UXG268Q86R,lenomorelin,3,Lenomorelin,f
K1:UXX2N5V39P,ecklonia-cava,3,Ecklonia Cava,f
K1:UY9LQ8P6HW,odesivimab,2,Odesivimab,f
K1:UYB6UOF69L,maralixibat,2,Maralixibat,f
K1:UYD8T7171M,tiprinast,3,Tiprinast,f
K1:UYE03B60KA,otaplimastat,3,Otaplimastat,f
